building_id,meter_type,ts,value,row_id
161,c,2022-01-01 00:00:00,0.0,1.0
161,c,2022-01-01 01:00:00,0.0,456.0
161,c,2022-01-01 02:00:00,0.0,910.0
161,c,2022-01-01 03:00:00,0.0,1365.0
161,c,2022-01-01 04:00:00,0.0,1819.0
161,c,2022-01-01 05:00:00,0.0,2273.0
161,c,2022-01-01 06:00:00,0.0,2728.0
161,c,2022-01-01 07:00:00,0.7385,3182.0
161,c,2022-01-01 08:00:00,0.0,3636.0
161,c,2022-01-01 09:00:00,0.0,4090.0
161,c,2022-01-01 10:00:00,0.0,4544.0
161,c,2022-01-01 11:00:00,0.0,4998.0
161,c,2022-01-01 12:00:00,0.0,5452.0
161,c,2022-01-01 13:00:00,0.0,5906.0
161,c,2022-01-01 14:00:00,0.0,6360.0
161,c,2022-01-01 15:00:00,0.0,6815.0
161,c,2022-01-01 16:00:00,0.0,7269.0
161,c,2022-01-01 17:00:00,0.0,7724.0
161,c,2022-01-01 18:00:00,0.0,8179.0
161,c,2022-01-01 19:00:00,0.0,8633.0
161,c,2022-01-01 20:00:00,0.0,9087.0
161,c,2022-01-01 21:00:00,0.0,9541.0
161,c,2022-01-01 22:00:00,0.0,9995.0
161,c,2022-01-01 23:00:00,0.0,10449.0
161,c,2022-01-02 00:00:00,0.0,10903.0
161,c,2022-01-02 01:00:00,0.0,11357.0
161,c,2022-01-02 02:00:00,0.0,11811.0
161,c,2022-01-02 03:00:00,0.0,12265.0
161,c,2022-01-02 04:00:00,0.0,12719.0
161,c,2022-01-02 05:00:00,0.0,13170.0
161,c,2022-01-02 06:00:00,0.0,13624.0
161,c,2022-01-02 07:00:00,0.0,14078.0
161,c,2022-01-02 08:00:00,0.0,14532.0
161,c,2022-01-02 09:00:00,0.0,14987.0
161,c,2022-01-02 10:00:00,0.0,15442.0
161,c,2022-01-02 11:00:00,0.0,15897.0
161,c,2022-01-02 12:00:00,0.0,16352.0
161,c,2022-01-02 13:00:00,0.0,16807.0
161,c,2022-01-02 14:00:00,0.0,17262.0
161,c,2022-01-02 15:00:00,0.0,17717.0
161,c,2022-01-02 16:00:00,0.0,18172.0
161,c,2022-01-02 17:00:00,0.0,18627.0
161,c,2022-01-02 18:00:00,0.0,19082.0
161,c,2022-01-02 19:00:00,0.0,19538.0
161,c,2022-01-02 20:00:00,0.0,19992.0
161,c,2022-01-02 21:00:00,0.0,20447.0
161,c,2022-01-02 22:00:00,0.0,20902.0
161,c,2022-01-02 23:00:00,0.0,21356.0
161,c,2022-01-03 00:00:00,0.0,21810.0
161,c,2022-01-03 01:00:00,0.0,22264.0
161,c,2022-01-03 02:00:00,0.0,22718.0
161,c,2022-01-03 03:00:00,0.0,23172.0
161,c,2022-01-03 04:00:00,0.0,23626.0
161,c,2022-01-03 05:00:00,0.0,24080.0
161,c,2022-01-03 06:00:00,0.0,24534.0
161,c,2022-01-03 07:00:00,0.0,24988.0
161,c,2022-01-03 08:00:00,0.0,25442.0
161,c,2022-01-03 09:00:00,0.0,25897.0
161,c,2022-01-03 10:00:00,0.0,26352.0
161,c,2022-01-03 11:00:00,0.0,26804.0
161,c,2022-01-03 12:00:00,0.0,27259.0
161,c,2022-01-03 13:00:00,0.0,27714.0
161,c,2022-01-03 14:00:00,0.0,28169.0
161,c,2022-01-03 15:00:00,0.0,28624.0
161,c,2022-01-03 16:00:00,0.0,29079.0
161,c,2022-01-03 17:00:00,0.0,29533.0
161,c,2022-01-03 18:00:00,0.0,29989.0
161,c,2022-01-03 19:00:00,0.0,30445.0
161,c,2022-01-03 20:00:00,0.0,30902.0
161,c,2022-01-03 21:00:00,0.0,31357.0
161,c,2022-01-03 22:00:00,0.0,31811.0
161,c,2022-01-03 23:00:00,0.0,32265.0
162,c,2022-01-01 00:00:00,0.0,2.0
162,c,2022-01-01 01:00:00,0.0,457.0
162,c,2022-01-01 02:00:00,0.0,911.0
162,c,2022-01-01 03:00:00,0.0,1366.0
162,c,2022-01-01 04:00:00,0.0,1820.0
162,c,2022-01-01 05:00:00,0.0,2274.0
162,c,2022-01-01 06:00:00,0.0,2729.0
162,c,2022-01-01 07:00:00,0.0,3183.0
162,c,2022-01-01 08:00:00,0.0,3637.0
162,c,2022-01-01 09:00:00,0.0,4091.0
162,c,2022-01-01 10:00:00,0.0,4545.0
162,c,2022-01-01 11:00:00,0.0,4999.0
162,c,2022-01-01 12:00:00,0.0,5453.0
162,c,2022-01-01 13:00:00,0.0,5907.0
162,c,2022-01-01 14:00:00,0.0,6361.0
162,c,2022-01-01 15:00:00,0.0,6816.0
162,c,2022-01-01 16:00:00,0.0,7270.0
162,c,2022-01-01 17:00:00,0.0,7725.0
162,c,2022-01-01 18:00:00,0.0,8180.0
162,c,2022-01-01 19:00:00,0.0,8634.0
162,c,2022-01-01 20:00:00,0.0,9088.0
162,c,2022-01-01 21:00:00,0.0,9542.0
162,c,2022-01-01 22:00:00,0.0,9996.0
162,c,2022-01-01 23:00:00,0.0,10450.0
162,c,2022-01-02 00:00:00,0.0,10904.0
162,c,2022-01-02 01:00:00,0.0,11358.0
162,c,2022-01-02 02:00:00,0.0,11812.0
162,c,2022-01-02 03:00:00,0.0,12266.0
162,c,2022-01-02 04:00:00,0.0,12720.0
162,c,2022-01-02 05:00:00,0.0,13171.0
162,c,2022-01-02 06:00:00,0.0,13625.0
162,c,2022-01-02 07:00:00,0.0,14079.0
162,c,2022-01-02 08:00:00,0.0,14533.0
162,c,2022-01-02 09:00:00,0.0,14988.0
162,c,2022-01-02 10:00:00,0.0,15443.0
162,c,2022-01-02 11:00:00,0.0,15898.0
162,c,2022-01-02 12:00:00,0.0,16353.0
162,c,2022-01-02 13:00:00,0.0,16808.0
162,c,2022-01-02 14:00:00,0.0,17263.0
162,c,2022-01-02 15:00:00,0.0,17718.0
162,c,2022-01-02 16:00:00,0.0,18173.0
162,c,2022-01-02 17:00:00,0.0,18628.0
162,c,2022-01-02 18:00:00,0.0,19083.0
162,c,2022-01-02 19:00:00,0.0,19539.0
162,c,2022-01-02 20:00:00,0.0,19993.0
162,c,2022-01-02 21:00:00,0.0,20448.0
162,c,2022-01-02 22:00:00,0.0,20903.0
162,c,2022-01-02 23:00:00,0.0,21357.0
162,c,2022-01-03 00:00:00,0.0,21811.0
162,c,2022-01-03 01:00:00,0.0,22265.0
